caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5
a person speaks and a vehicle engine runs,metal clacking as food and oil sizzles followed by a woman talking,food is frying and a woman speaks,food sizzles in cookware then a person speaks,loud sizzling that gets quieter at the end followed by a person speaking,food is frying loudly
a vehicle engine is running and revving up,a motorcycle engine works nearby,an engine revs and a turning noise is made,a motorcycle engine works nearby,a vehicle engine runs,a motorcycle engine roars
a vehicle engine is running and revving up,an engine works in idle nearby followed by a man talking,humming of idling and revving engine with a man speaking,an engine works nearby followed by a man talking,a motor revs repeatedly and a man yells,a vehicle engine revs and someone speaks
a clock ticking and a person speaks,a musical chiming followed by a tap and then silence,a clock sounds an alarm then ticktocks,a cuckoo clock ducks and coos while the clock chimes and ticks,a cuckoo clock ringing back and forth,a cuckoo clock chimes and whistles then stops and keeps on ticking
a person speaks and a vehicle engine runs,someone is typing on a computer keyboard,someone types in a keyboard,the loud regular clack of typing ensues followed by paper being pulled,a person is typing on a computer keyboard,keys clicking on a computer keyboard
a vehicle engine is running and revving up,an engine works nearby and then accelerates moving away,an engine starts up and drives away,a race engine idles and revs before accelerating,a vehicle engine revs before accelerating,a vehicle accelerates quickly
a man speaks and a vehicle engine runs,an adult male speaks and dials a rotary phone,a man speaks then dials a rotary telephone,a man talks while dialing a phone,a man speaks while using an old phone punching in the numbers on the dial,a man speaks as he dials an old-fashioned phone
a vehicle engine is running and revving up,dog barking and vehicle engine idling followed shortly by vehicle engine revving,dogs bark as an engine runs and a person whistles,dogs bark as a vehicle comes nearer,a dog barks as an engine idles then accelerates,a dog barks as a vehicle idles then accelerates
a vehicle engine is running and revving up,a vehicle engine revs as the vehicle passes,a vehicle engine revs and tires squeal,a motor runs and shifts gears,a vehicle engine revs and squeals tires,a car zooms by
a vehicle engine is running and revving up,a propeller rotates loudly and intensely,a helicopter engine runs continuously,a helicopter engine idles continuously,a propeller moves loudly nearby,a motor runs efficiently
birds are chirping and a person speaks,birds chirp and wind blows,birds and insects make noise during the daytime,bees are buzzing around noisily while some wood is moved around,birds chirp in the distance,birds chirp and animals vocalize
rain falls on a surface as thunder runs,continuous raining and thunder,moderate rain falls as thunder rumbles,rain falling and thunder roaring,rain falls and thunder roars,continuous rain and thunder
a man speaks and a vehicle engine runs,a man speaks then rubs two hard objects together,an adult man talks and a motor starts,a man speaks the rubs a file against a hard surface,a man speaks then rubs an object against a hard surface,a male talking followed by a scraping of two objects against each other
a vehicle engine is running and revving up,a vehicle engine runs while a siren and horn sound,a siren comes to life as a horn blares,a vehicle engine runs as a siren and horn sound,a diesel engine runs while a siren and horn sound,a vehicle engine runs while a siren rings out and a horn blows
a person speaks and a vehicle engine runs,rustling leaves with some light squeaking and wind blowing hard followed by a light smack,wind blows over rustling and a small metal squeak,wind blowing hard followed by a rustle,wind blows loudly causing leaves to rustle and sway followed by a branch cracking,wind gusts intermittently as metal squeaks and paper rustles
a man speaks and a vehicle engine runs,a guy speaks followed by sizzling and then more speaking,a man speaks while placing some meat on a pan causing it to sizzle,men are communicating along with food sizzling,a man speaks as good sizzles,food begins to sizzle as a man speaks
a man speaks and a vehicle engine runs,a man speaks as horns blow,a man talks while a horn is triggered,a man speaks ominously over discordant music,a man speaking with music and white noise,discordant musical underscores an ominous man speaking
a vehicle engine is running and revving up,people speak as mild stomping occurs,clip clips of a horse with men speaking,people speak as a thumping occurs,people speak in the distance,horse walking while people talking
a woman speaks and a vehicle engine runs,a woman speaks and a child cries,a beep occurs then a woman and child speak,a grown woman speaks and a younger girl speaks,female speech followed by a child whining,a woman speaks and a child whines
a toilet flushing,a clang followed by a toilet flushing,some rustling followed by a toilet flush,a toilet flushes and water rushes down the toilet,a toilet flushes and water drains,water rushes quickly then gurgles
birds are chirping and a person speaks,birds chirp and a dog breathes heavily,a small musical boom and then birds tweet and a few dogs pant,an animal growls followed by birds chirping,a vehicle moves far away and birds tweet nearby,a bird chirps as a car drives by
a man speaks and a vehicle engine runs,a male speaks over some small clicks,a clock ticktocks as a man speaks,a clock ticktocks while a man speaks,a man speaks as a clock ticktock,a man speaks as a clock ticktocks
a man speaks and a vehicle engine runs,plastic is tapped on while someone speaks,a woman speaks and taps on a hard surface before running tap water,repeated tapping is accompanied by water running and a woman speaking softly,someone chops on a hard surface and speaks before turning a water faucet on,a woman speaks and taps on a counter before turning a water tap on
a man speaks and a vehicle engine runs,a man speaks uses a drill,a man speaking followed by the high-frequency humming of a small drill,a man speaks and a high pitched motor whirls,a man speaks then uses a drill,a man speaks then uses a drill
a vehicle engine is running and revving up,a clinking sound occurs outside,a train passes by on a set of tracks,rattling and rustling of a passing engine as people speak in the distance,railroad tracks clickety-clack and a train clanks as it passes,a vehicle traverses a bump and distant engines run
a vehicle engine is running and revving up,a man speaks as a vehicle engine idles,a man speaks as a vehicle engine idles,a man speaks with a low rumble in the background,two adult men speak over an engine running,an adult male speaks over low engine noise
rain falls on a surface as thunder runs,rain falls onto a hard surface and thunder roars before music plays,thunder rumbles as rain falls and sparkly music plays,rain pitter-patters while thunder booms in the distance followed by music playing,rain falls onto a hard surface as thunder roars and music begins to play,a heavy rain falls followed by a music being played
a man speaks and a vehicle engine runs,a man speaks over birds singing and people muttering,a man speaks while others speak in the background,a man narrates as birds chirp and a group of people speak,a man speaks as birds chirp before women begin speaking,birds chirp as a man narrates while a group of people speak
a man speaks and a vehicle engine runs,a woman and man are speaking,a woman speaks and other women and a man talk with her,a woman speaks and then a man speaks,a man and woman speak,a woman speaks and a man speaks
a toilet flushing,a toilet flushes and water drains unevenly,a toilet flushes and water drains,a toilet flushes and water drains,a toilet flushing,a toilet flushes
,a stream of water flows quickly,a stream runs then someone speaks,a stream of water runs quickly then someone speaks briefly,water runs in a stream then someone speaks,water flows steadily as a woman speaks in the distance
a man speaks and a vehicle engine runs,a young man speaks while loud gunshots and banging noises are being made,a young man and a woman speak as gunshots echo in the background,some people speak while guns shoot,a man speaks before a woman tells returning gunfire,a young man speaks a woman yells and guns fire
a person speaks and a vehicle engine runs,gunshots ring out a man yells and more shots follow,a gunshot occurs while men speak in the background,gunfire rings out as people speak in the background,a gunshot occurs while a man speaks in the background,people are talking as gun is fired
a dog barks and a man speaks,insects humming with a dog barking and small goat bleating,dogs barking and whimpering,a dog barks continuously,a dog barks while a lamb vocalizes in the background,a dog barks continuously and a goat bleats
a person speaks and a vehicle engine runs,an electronic device bleeps once,some object is tapped followed by a beep,a button is pressed and the button beeps after being pressed,soft fidgeting is followed by a quiet beep,small fidgeting noises are followed by a single beep
a person speaks and a vehicle engine runs,a drill drills through something then people begin laughing,a drill runs and two people laugh,a motor runs and a woman and man laugh together,a machine runs and people speak and laugh,men laugh and speak while using a drill
a man speaks and a vehicle engine runs,a man speaks and uses tools,a man speaks followed by a clang,a man speaks and uses tools,a man speaks and uses a tool,a man speaks and uses tools
a clock ticking and a person speaks,a clock ticktocks,ticking continues without interruption,a clock ticks in a quiet space,a clock does ticktock,ticking of a clock with light electrical humming in the distance
a person speaks and a vehicle engine runs,loud laugh ting and mumbling with s person laughing faintly and briefly in the distance,an older woman laughs and titters,a woman makes noises and laughs happily,laughing and some mumbling,laughing followed by a short groan then more laughing
a vehicle engine is running and revving up,a man speaks over a running engine and blowing wind,a motor runs steadily as a man speaks then the motor revs twice,a man speaks while a vehicle engine runs and revs loudly,a loud engine rattling and a man speaking followed by some clunking sounds,a vehicle engine idles as a man speaks
a person speaks and a vehicle engine runs,white noise and snoring with some rustling in the background,someone snores nearby,a person is snoring while sleeping,a sleeping person inhales and exhales repeatedly as he snores,a person is snoring while sleeping
a person speaks and a vehicle engine runs,someone snores nearby,continuous snoring,a person snores,someone is snoring while sleeping,a person is snoring while sleeping
a vehicle engine is running and revving up,wind blows strongly and a young man speaks,a machine engine runs and a man speaks,an engine runs and wind blows,wind blows into a microphone causing noise,a strong wind blows and a man speaks
a man speaks and a vehicle engine runs,loud ringing of a telephone stops followed by a man speaking and a digital beep,a telephone rings as a man speaks then picks up the telephone,a telephone rings followed by a man speaking,a telephone rings as a man speaks then answers,a telephone rings and a man speaks before answering
wind blows hard as water splashes and a person speaks,wind noise takes place into a microphone while rustling occurs,wind noise makes sound into a microphone,wind blows strongly,wind noise takes place in a microphone while rustling occurs,wind blows causing wind noise into a microphone
a person speaks and a vehicle engine runs,paper is repeatedly crumpled and crinkled,paper crinkles without interruption,paper is crumpling in a microphone,paper is crumpled and crinkled,continuous crumpling and crinkling
a man speaks and a vehicle engine runs,a man talks while metallic objects are rapped and steam is released,a man speaks while water runs and dishes cling together,a man speaks as dishes cling together and water runs,an adult male speaks over pan sizzling and metal banging,a man speaks as dishes make sounds and water runs
a vehicle engine is running and revving up,a soft wind underscores a woman laughing,distant waters roar amid foreground jostling and a gasp,water is gurgling in a tank,water is gurgling in a tank,water is gurgling in a tank
a man speaks and a vehicle engine runs,multiple adults speaking and a child shouting in the background,people speak as a child vocalizes and television plays,children yell and play as a woman speaks in the distance,multiple people speak while a television play and a child screams,several adults speaks as children yell and shout
a person speaks and a vehicle engine runs,birds chirp a woman speaks and insects buzz,birds chirp and an insect buzzes around,a bug is buzzing as it is flying around,birds tweet followed by bees flying,birds chirp in the distance followed by bees buzzing loudly
a dog barks and a man speaks,a dog barks and whimpers,small dogs growl bark and yip,whippering and grunting from a group of young pups,a dog whimpers and barks,dogs bark and whimper
a man speaks and a vehicle engine runs,a man talking followed by a vehicle door closing followed by wind blowing into a microphone as water sprays in the background,a man speaking continuous with a brief bang,a car runs a car door slams as an adult male speaks,a man speaks while closing a car door the car is idling in the background,a motor runs as a man speaks and a door slams
a vehicle engine is running and revving up,a mid-size motor vehicle engine decelerates and then accelerates and faint speech occurs in the background,an engine rumbles quietly and gets louder,several motors run and pass by,a vehicle accelerates briefly twice while someone speaks,a race car drives slows down as a person speaks in the background and accelerates again
a person speaks and a vehicle engine runs,water splashing and a person laughs in the distance then a man speaks nearby,water flows as a woman laughs and a man speaks,some liquid flows while a woman laughs and man talks,water pour and birds chirp while a person laughs and then speaks,water runs onto a hard surface while someone speaks
,a child speaks in closed space,a child speaks,a preteen girl speaks,a girl speaks in a dialog,a girl speaks narrating a dialog
a toilet flushing,a toilet flushes quickly,a toilet flushes loudly and water runs down through the toilet and then gurgles at the bottom,a toilet flushes and water drains,a loud rumble followed by a toilet flushing,a toilet flushes and water drains
a train horn blows and a person speaks,a horn blasts loudly as a train passes,a train horn blowing as a train runs on a railroad tracks,a train siren goes off followed by the train traveling on the train tracks,a train horn sounds as the train clicket-clacks along the tracks,a train horn sounds loudly and clickety-clacks on the tracks
a machine runs and a person speaks,a whirring motor run without stopping,a saw cuts a hard object,a saw runs continuously cutting wood,a saw is cutting through wood loudly,a saw runs and cuts a solid surface
a vehicle engine is running and revving up,a horn honks followed by a loud continuous buzzing while men speak,a horn sounds and motorcycles accelerate then a man speaks,a motorcycle engine idles then accelerates quickly outside,an engine increases in speed as a horn honks and a man speaks,some motorcycle moves then a horn is triggered and motorcycles are accelerates and a man shouts
a person speaks and a vehicle engine runs,a child yells and another yells,a child speaks loudly as other children yell and cheer in the background,a kid shouts in the background while another kid announces what is happening,children speak and scream,a group of kids talking and yelling
a person speaks and a vehicle engine runs,a person is whistling a tune,someone whistles a tune,a person is whistling,a person whistles a tune,loud musical whistling
a man speaks and a vehicle engine runs,a guy speaks with birds chirping in the background,birds chirp and wind blows as a man speaks,an adult man speaks over light wind,insects buzz and wind blows as a man speaks,white noise and a man speaking with birds chirping in the distance
a man speaks and a vehicle engine runs,a mechanical is running as a man talks,a man speaks as a drill runs,a drill press is running as a man talks,a man speaks as a drill runs,an adult male speaks as a small motor runs
a vehicle engine is running and revving up,birds chirps while a siren signals in the distance,an engine sounds and siren wails,a large truck raises a siren as it drives through a busy and noisy road,sirens fade into the distance as a motor sputters,humming and rustling of a fire truck passing in the distance with its siren ringing
a vehicle engine is running and revving up,water trickles down as a lawnmower engine runs,water trickles as a small engine is revving up,water drips and gurgles as birds chirp distantly,water trickles as a small motor whirls,water flows and splashes
a baby cries and a woman speaks,a horn is blown causing two babies to laugh and cheer loudly,a kazoo is blown followed by a baby laughing,a musical toy is blown like a trumpet and two babies laugh giddily,a noise is made and children laugh,a horn sounds and babies laugh
a person speaks and a vehicle engine runs,someone whistles a tune,someone whistles a tune,a person is whistling,someone whistles a song,a person whistling a melody
wind blows hard as water splashes and a person speaks,waves break and wind blows strongly,ocean waves crash as a moderate wind blows,waves roil and crash on a windy day,wind blows and a stream of water runs,wind blows into a microphone and waves crash
a person speaks and a vehicle engine runs,a person is burping while a girl speaks,some light rustling followed by a loud burp and a girl speaking,children laugh and a person is burping loudly before speaking,children laugh and a child belches loudly before speaking,a small laugh is followed by a loud burp and a female speaking
a baby cries and a woman speaks,a baby cries and fusses a woman speaks and a man speaks,two women and a man talk while a kid cries,a small child crying with a woman and man speaking,a woman speaks and a child cries before a man speaks,a woman and man speak then an infant begins to cry
a vehicle engine is running and revving up,a car speeds away loudly followed by a car revving loudly and driving away while outside,a vehicle accelerates before a race car idles then accelerates quickly,a vehicle accelerates then a race car revs and accelerates quickly,a vehicle accelerates then a race car engine revs and accelerates,a vehicle engine accelerates and then another vehicle revs an engine and accelerates
a vehicle engine is running and revving up,an emergency siren wails as it passes,an emergency siren gets louder and then quieter,an emergency siren passes by,a siren wails as it passes by,a emergency siren is triggered and moves getting closer
a person speaks and a vehicle engine runs,children speak and play together,children laughing and a lady speaks,a woman speaks and then children play and speak,a woman speaking followed by distant children speaking and laughing,a female voice briefly yells as several children start talking and yelling all around
a baby cries and a woman speaks,children cry and people talk,an infant cries as a man and woman speak,a child cries and fusses as a woman speaks and cheers,a baby cries and screams as adults speak,a woman cheers laughs and claps as a baby cries and whines
a person speaks and a vehicle engine runs,wind blowing and birds chirping with the distant cooing of a large bird,birds chirp and an owl hoots before a man speaks briefly,white noise and birds chirping,birds chirp and bees buzz outside,birds tweet and insects chatter quietly
a woman speaks and a vehicle engine runs,a child speaks with some light rustling and clinking,a young child speaks and moves a spoon in dishes,a girl talks while objects hit,a child speaks and uses dishes,a child is speaking shuffling and faint scraping occur and a glass dish thumps
a man speaks and a vehicle engine runs,birds vocalize and a man speaks,birds fly around and a man speaks,a man speaks as pigeons vocalize and walk around,a person speaks as a cage rattles birds chips and flap wings in the background,a man speaks as pigeons vocalize and walk around
a vehicle engine is running and revving up,some men talk among st themselves as cars speed and race loudly,race cars go around a track as a man commentates,a couple of males are speaking as engines zoom come by them,a man commentates as race cars pass by and an announcer speaks,two male voices talking one after the other all the while race cars are constantly zooming by
a person speaks and a vehicle engine runs,a person is burping then speaks and laughs,loud burping followed by a man speaking and a small girlish giggle,a person burps loudly speaks then giggles,a person burps continuously then speaks and laughs,a person is burping loudly the speaks and laughs
a man speaks and a vehicle engine runs,a male is speaking and a duck quacks as others laugh,a duck quacks and men speak and laugh,a duck quacks people talk the duck quacks louder as people laugh,an animal quacks two men speak and a woman laughs,a duck quacks with people speaking and laughing
birds are chirping and a person speaks,birds chirp as wind blows,birds chirp in an open environment,birds chirp and tweet softly,birds chirp continuously,several birds tweet nearby
a vehicle engine is running and revving up,a bell rings multiple times before a siren sounds in the distance,repeated electronic beeping is followed by a swell of music,two beeps are followed by a swell of soft music,a bell rings out multiple times and a siren sounds,a series of electronic beeps is followed by soft music
a vehicle engine is running and revving up,a horn honks twice and keys jingle followed by an electronic beep,a horn honks twice and keys jingle followed by a slam and an electronic beep,a horn beeps twice followed by a clang and then some footsteps and another beep,two beeps are followed by footsteps and keys jingling,a horn is triggered and a door is closed followed by some steps and key jingling
a man speaks and a vehicle engine runs,a man speaks followed a machine buzzing and whirling,a man speaks then a sewing machine runs,a man speaks before using a sewing machine,a man speaks and runs a sewing machine,a grown man speaks and a machine cranks and runs
a train horn blows and a person speaks,a series of light horn beeps is followed by a loud steam whistle,wind blows and a vehicle blows a hard then a train blows a horn,a horn honks and then loudly blares,a low rumble followed by two honks and then a loud whistle blowing,a horn blows then a steam engine whistles
a vehicle engine is running and revving up,men speak and a nozzle sprays liquid,a spray bottle sprays multiple times nearby,individuals are speaking followed by a loud burst and a spray,steam erupts loudly and intensely,a man speaks followed by a loud burst
a machine runs and a person speaks,a saw moves back and forth then a man speaks,a man is sawing a hard object then speaks,someone rubs metal against a hard surface,a manual sawing is used followed by a man talking and metal objects hitting,a man is sawing a hard object then speaks
a vehicle engine is running and revving up,a woman speaks in a fast tone with a male,people speak in a closed space,multiple people speak,multiple people speak as vehicle horns blow,multiple people speak as vehicle horns blow
,a machine runs continuously,a machine runs and a cling occurs,a rotating machine works nearby,mechanical humming and vibrating with a loud clink,a machine whirring nearby
a person speaks and a vehicle engine runs,a consistent ticking pattern,a clock ticktocks continuously,a repeated ticking,the ticktock of a clock arm repeatedly moving back and forth,a clock ticktocks
a person speaks and a vehicle engine runs,a beep occurs briefly,multiple computer bleeps of various frequencies,electronic beeps occur in two tones,a beep occurs briefly,a computer quietly beeps
a man speaks and a vehicle engine runs,a man talks while some wood is rubbed far away,a man speaking as wood repeatedly clacks in the background,a man is talking loudly while another man spoke briefly with some footsteps in the background,a man speaking continuously with some clanking,a man speaking with some clanking
a baby cries and a woman speaks,a woman talks while a baby cries and a man whispers,a baby cries and a woman moans,an infant crying and a woman speaking with some distant murmuring,a baby cries as a woman sings and speaks,a baby cries and a woman speaks
a woman speaks and a vehicle engine runs,a child speaking with tapping in the background,a kid speaks with a low ticking in the background,a child speaks as interference takes place in a microphone,a child speaks as a television plays in the background,a child speaks while interference takes place
a vehicle engine is running and revving up,a boat engine runs and wind blows while a man speaks and women scream,a boat runs and wind blows while a man speaks and women cheer,an engine buzzing with wind and brief speech,humming of a motor with people screaming then a woman speaks as wind blows hard and water splashes,girls scream and a man speaks as wind blows and a boat motor runs
a person speaks and a vehicle engine runs,a man talks as something metal hits against and glass is set down,a man speaks as he moves silverware in a bowl,a man speaks over cutlery sounds and snipping noises,a man speaks over metal and glass clinking,a person talks while dishes clank together
a man speaks and a vehicle engine runs,a man hammers on a metal sheet then speaks,loud banging is followed by an adult man speaking,a series of loud pops is followed by a man speaking,a person hammers a metal object repeatedly then speaks,pound banging and rattling followed by a man speaking
a bell rings and a person speaks,a bell chimes melodically,soft dings are punctuated by larger clangs,a musical bell chiming continuously,bells clang and ring together,several large church bells ring repeatedly
a baby cries and a woman speaks,a infant makes noise and is excited,tapping occurs then a baby cries,tapping occurs and a baby cries,door closing sounds precede a baby crying,a baby scrapes on a surface and then shouts and screams gleefully
a dog barks and a man speaks,a dog growls then barks and whimpers,a dark growl whimpers and barks,a dark growling barking and whimpering,a dog snarls and yips then growls,an animal growls and yips
a bell rings and a person speaks,a church bell rings several times,a bell rings out loudly,a bell rings out loudly,a large bell rings,a large bell rings and echoes
a person speaks and a vehicle engine runs,sucking and grunting followed by slurping with birds in the background,an animal hissing followed by a man mumbling then a pig oinking while birds chirp in the background,an animal snorts and oinks over birds chirping,birds chirp and a goat bleats,birds sing far away as an animal fidgets and grunts
a toilet flushing,footsteps followed by a flushing toilet,footsteps then a powerful flush of a toilet,a toilet flushes and water drains,someone walks to a toilet and flushes it,some rustling followed by a flushing toilet
a man speaks and a vehicle engine runs,a man speaks as water trickles down a stream,a man speaks while water trickles and flows,a man talks nearby and another man talks far away while some liquid flows,water trickles down as men speak,some men converse while water bubbles in the background
a vehicle engine is running and revving up,a man yells and speaks as water splashes,distant murmuring and water running consistently,a man yells urgently as water splashes,a man screams as water flows,distant murmuring and hollering with white noise
a machine runs and a person speaks,white noise followed by male speech and then silence,an engine whirls shrilly to life revving intensely then slows a bit,a high powered engine spins to life and runs,a toy engine whirring louder and louder,a small engine spools up slowly then decelerates briefly
a person speaks and a vehicle engine runs,young female child snoring and breathing deeply,a recorded voice speaks briefly as a man snores,a man snores loudly as a recorded voice speaks in the background,a person snores as birds chirp softly in the distance,distant faint rustling and clattering with nearby wheezing and snoring
a person speaks and a vehicle engine runs,there are rhythmical snoring nearby,someone is snoring while sleeping,someone snores,a person is snoring while sleeping,a person is snoring while sleeping
a baby cries and a woman speaks,a baby vocalizes and laughs as a woman speaks,a baby is laughing and the mother is playing with her baby,a baby laughs and fidgets as a woman speaks and chuckles,a baby vocalizes and laughs at a woman speaking,a baby coos and laughs as a woman speaks
a man speaks and a vehicle engine runs,a man speaks while turning a water faucet on,a man speaks while running water onto a hard surface,an adult man speaks as water runs and stops,a man speaks as he turns a water facet on,a man speaks and sprays water onto a hard surface
a person speaks and a vehicle engine runs,after a few seconds of silence a loud bang occurs followed by a softer banging noise,a door slams shut roughly,a door slams shut and an object moves on a hard surface,a door shuts and a microphone is moved,an object creaks and slams
a woman speaks and a vehicle engine runs,a woman speaks and laughs and an animal grunts and snorts,a young woman speaks and laughs and an animal snorts,a girl speaks then a pig oinks,a female speaks and laughs then an animal grunts,children speak and laugh then a pig oinks
a vehicle engine is running and revving up,wind blows metal squeaks and people talk,wind blows followed by sheep bleating and people talking,wind blows and a sheep bleats,wind gusts a woman speaks sheep baa and metal squeaks,wind sounds blow nearby and then sheep bleat followed by people talking quietly nearby
a man speaks and a vehicle engine runs,a woman speaks as she rubs two objects together,a woman speaks as she rubs two objects together,a woman speaking with continuous rubbing,an adult female speaks over rubbing and scraping,a woman speaks over light rubbing and scraping
a man speaks and a vehicle engine runs,a man speaks over a radio as wind blows and water splashes,a man speaks on a radio as wind blows,a boat travels through the waves as the wind blows loudly and a man speaks over a radio,a man speaks over a radio followed by water splashing,water splashes and wind blows as a man speaks on a radio
a man speaks and a vehicle engine runs,crowd applause while a guy laughs followed by another man speaking,an audience gives applause and a man laughs before speaking,an audience gives applause before a man laughs and speaks,an audience gives applause then a man laughs and speaks,an audience gives applause while a man laughs then he speaks
water is splashing and a person speaks,water flows and trickles,water bubbles and gurgles,water splashing repeatedly,water runs slowly through a stream,water splashes and dribbles against a hard surface
a person speaks and a vehicle engine runs,a person sniffles and then sneezes in the distance,a person sniffs and sneezes,a person sniffles and sneezes,someone sneezes lightly,a person sniffles then sneezes
a man speaks and a vehicle engine runs,pigeons vocalize and birds chirp,a man speaking together with birds chirping and distant murmuring,a man speaks and moves objects around,a man speaks while a birds coo and chirp,a grown man talks calmly while a creature produces low grunts
a person speaks and a vehicle engine runs,static continues in the background while someone snores,a person snores as they sleep,a person is snoring while they sleep,a person is snoring while sleeping,a sleeping person makes a snoring sound
a person speaks and a vehicle engine runs,a chime of a clock followed by various tones of ticking with come clinking,a clock ticktocks and a bell rings,a clock rings and ticktocks,a bell rings and several clocks do ticktock,a clock rings and ticktocks
a vehicle engine is running and revving up,winds blows roughly as a vehicle races past,an aircraft engine runs as wind blows heavily,wind gusts roughly as an engine whines,wind blows as an aircraft approaches to land,an aircraft engine gets louder as it approaches while wind blows
a woman speaks and a vehicle engine runs,a woman speaks happily and an animal chirps,a woman speaks and dog vocalizes,a woman speaks while a toy beeps,a woman speaks followed by a squeak,a woman speaks as a bird chirps
a man speaks and a vehicle engine runs,a man speaking with clinking metal,a man speaks over metallic clanging and bangs,a man speaks while metal clanks in the background,a man speaks while fiddling with some tools,a man speaks as objects rattle and move
a vehicle engine is running and revving up,water trickles softly over traffic in the background,rain falls steadily over low rumbling,rain falls steadily over traffic noise,rain falls loudly as the build up of thunder and lightning occurs in the distance,rain falls onto a hard surface
a vehicle engine is running and revving up,an airplane engine roars increasingly louder,a jet engine spools up and takes off,a jet engine screams then increases its power,a jet engine spools up then accelerates,a jet engine spools up quickly
a man speaks and a vehicle engine runs,a man woman speak while crickets sing,an adult woman and an adult man speak,a young girl and a man talking followed by a gun cocking as wind blows into a microphone and crickets chirp in the background,a man and woman speak as birds chirp,a man speaks and another person speaks as metal clicks
a person speaks and a vehicle engine runs,two hiccups and a giggle,a low growl followed gasping and then a burp while some girls laugh,children laugh because they are burping,a child burps repeatedly and a young person laughs,a person burps and belches and another person laughs
a man speaks and a vehicle engine runs,a woman talks while something is fried and objects are tapped,a woman speaks over sizzling noise,a young lady speeches while something is being fried,a woman speaks as frying food sizzles,a woman speaks while food is frying
a vehicle engine is running and revving up,a loud snarling engine is followed by a man laughing,motors rev and run loudly as a person laughs,a distorted vehicle engine accelerating then slowing down followed by a man laughing,loud static rustling followed by a guy laughing crazily at the end,motors run harshly as a person laughs
a person speaks and a vehicle engine runs,animals bleat and cry out and then a woman speaks,an animal bleats and cries and a man speaks,a goat bleats loudly afterward a man speaks,a goat crying and people speaking,an animal bleats and shuffles on soft ground
a man speaks and a vehicle engine runs,several insects fly while two men talk,insects buzz and men speak,many insects are buzzing as a man are speaking,insects buzz as men speak,insects buzz around and men talk
a person speaks and a vehicle engine runs,someone snores nearby,a person snoring several times,a sleeping person snores and wheezes,a person is snoring while sleeping,a person loudly snoring three times
a train horn blows and a person speaks,wind blowing with a faint man 's voice and a distant train approaching with a humming engine and blowing horn,a train horn blares multiple times as wind gusts loudly,a train sounds its horn as the wind blares and the train travels along the tracks,a horn blares twice,wind blows hard as a train horn sounds and the train approaches
a vehicle engine is running and revving up,a person uses a saw to cut some wood,an engine rumbling followed by a mechanical buzzing,an engine revs loudly followed by some men talking and a saw cutting through metal,an engine idles continuously,an engine runs and people speak as cutting takes place
rain falls on a surface as thunder runs,thunder roars as rain falls onto a hard surface,thunder rumbles far away as rainfall increases,rain falls onto a hard surface and thunder roars,thunder roars as rain falls onto a hard surface,rain falls on a hard surface and thunder roars
a vehicle engine is running and revving up,multiple people speak and children yell while water gurgles,people speak as water splashes,a crowd speaks among themselves loudly and people shout and talk,distant continuous murmuring,multiple people speak and children yell while water gurgles
a man speaks and a vehicle engine runs,a man speaks as crickets sing,a man speaks as crickets sing,a man speaks as crickets sing,a man speaks as crickets sing,insects chirp and men speak
a vehicle engine is running and revving up,a motorcycle idles loudly as wind blows,a motorcycle engine idles as wind blows,wind blowing with low humming of an idling engine,a motorcycle engine idles and wind blows,low rumbling humming of an idling engine with wind blowing hard
a vehicle engine is running and revving up,a siren blares followed by a car speeding up,the humming of passing traffic with a siren ringing into the distance,a brief ring of a siren followed by loud humming of revving engines,a siren sounds as a motorcycle accelerates,an emergency vehicle siren sounds quickly then a motorcycle accelerates
a woman speaks and a vehicle engine runs,a woman speaks as frying food sizzles,a woman speaks with water running,a woman speaks and food sizzles while frying,a woman speaks while water pours,sizzling together with female speech
a vehicle engine is running and revving up,an engine idles quietly then gradually becomes louder,a engine is humming as it runs,a high pitched engine moving closer and closer,a vehicle engine idles quietly then gradually gets louder,a low rumbling increasing into a loud buzz
a man speaks and a vehicle engine runs,a man speaks calmly as water lightly ripples,a man speaks over water gurgling quietly,a man talks while some liquid flows,a man speaks while water flows,a man speaks as flowing water accompanies him
a man speaks and a vehicle engine runs,a man speaks while rain falls onto a hard surface,a man speaks as rain falls and objects clash together,a man speaks then swords clash and water runs,rain falls onto a hard surface as a man speaks and characters make noise,a man speaks as rain falls onto a hard surface and objects move around
a dog barks and a man speaks,multiple dogs bark and yip,multiple dogs bark as people speak,several dogs bow-wow nearby,a group of dogs are barking one after the other,several dogs barking with light scraping and tapping
birds are chirping and a person speaks,birds are chirping rhythmically,birds chirping loudly and melodically,a bird chirps continuously,birds chirp consistently,a single bird is chirping
a person speaks and a vehicle engine runs,people speak and tapping occurs,people speak and tapping occurs,some people talk followed by some surface being tapped,people speak and tapping takes place,the hoofs of a horse clatter on the ground while a man speaks and then laughs
a man speaks and a vehicle engine runs,a man speaks and a baby cries,a man speaks and a baby cries,a man talks while a baby cries,a man speaks and a baby cries,a man speaks haltingly as a baby stirs softly
a baby cries and a woman speaks,a woman and man speak then a baby cries,a woman and man speak while a baby cries,people speaking and laughing with a baby crying,a woman speaks and giggles as a baby cries,a woman speaks and consoles a crying baby
