caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5,mult_captions_predicted_1,mult_captions_predicted_2
a baby laughs and a woman laughs,babies are laughing followed by a fizzling sound,young children giggling and laughing,children laughing with intermittent hissing,babies laugh with a spray noise,a spray bottle hisses as two infants laugh,a baby laughs and laughs,a baby laughs and a woman laughs
a motorcycle engine idling idle,chainsaw being run,clicking and vibrating of a humming rattling engine,engine running steadily,an engine is idling,a mid-size motor is idling vibrating and humming,a motorcycle engine idling idle,a motorcycle engine idles and then revs and idles
waves crashing and wind blowing,waves and wind rake a shore,waves of water colliding repeatedly,waves crash on a beach while the wind blows,ocean waves are repeatedly splashing on shore and a gentle wind is blowing,close ocean waves,waves crashing and wind blowing,waves crashing and wind blowing waves crashing
a train horn sounds and then a train passes by,a subway train signal plays followed by a bell chiming followed by a horn honking as a crowd of people talk in the background,a large motor vehicle engine is running clacking occurs and a horn blows,an electronic signal followed by compressed air releasing then an electronic bell playing as a train runs on tracks in the background,subway train blowing its horn,a high tone signal followed by train moving down tracks,a train horn blows and a bell rings,a train horn sounds and then a train passes by
a man is speaking and rubbing something,a man talking as metal clacks followed by metal scrapping against a metal surface,a man is speaking followed by saw blade noises,a man speaking with intermittent metal scraping,male speech and metal scraping,a man speaks with some clicks and then loud long scrapes,a man is speaking and rubbing something,a man is speaking and rubbing a metal
a dog growling and growling,horses growl and clop hooves,a horse neighs followed by horse trotting and snorting,horses neighing and snorting while trotting on grass,horses neighing then snorting and trotting on a dirt surface,horses neighing and stomping on the ground,a dog growling and growling,a dog growls and barks
a woman speaks followed by a woman laughing and a person laughing,a woman speaks then a phone chimes then there is a burp followed by laughter,a man talking followed by a woman talking while an electronic beep plays with a person claps before someone belches then a man and woman laugh,woman speaks girl speaks clapping croaking noise interrupts followed by laughter,a man talking followed by a person clapping then electronic chimes alongside a woman talking before another person claps proceeded by a person belching and two people laughing,clicking followed by a burp and laughing,a woman speaks followed by a woman laughing,a woman speaks followed by a woman laughing and a person laughing
a baby cries loudly,audio static followed by a man laughing before an electronic device motor slides then an infant cries,scary laughter by an adult male occurs followed by a click and a buzz and a baby begins crying,a man laughs followed by a baby crying,a maniacal laugh followed by a crying baby,wicked laughter followed by a baby crying,a baby cries loudly,a baby cries and fusses
a vehicle engine is running and people are talking in the background,a man speaking through a radio as a truck engine runs idle and a vehicle accelerates in the distance,distant humming followed by men speaking over a radio,humming from loud engines with men speaking over the radio,a large truck engine running idle as a man speaks over a radio followed by a large truck accelerating while wind blows into a microphone,an engine roars as someone is speaking over a machine,a vehicle engine is running and people are talking in the background,a vehicle engine is idling and people are talking in the background
a series of loud explosions followed by a loud explosion,several very loud explosions occur,loud bursts of explosions with high wind,a loud explosion as gusts of wind blow,loud banging followed by one louder bang with some static,very loud explosions with pops and bursts of more explosions,a series of loud explosions,a series of loud explosions followed by a loud explosion
a sewing machine is being used,a telephone dialing tone followed by a plastic switch flipping on and off,a telephone dialing tone followed by a plastic switch flipping,a phone dial tone playing followed by a plastic switch flipping,a telephone dialing tone beeping as a plastic switch flip on and off,dialing and clicking,a sewing machine works,a sewing machine is being used
a gun is fired and a man speaks,a gun cocking then firing as metal clanks on a hard surface followed by a man talking during an electronic laser effect as gunshots and explosions go off in the distance,loading and firing of a gun with the sound of running o f footsteps at the end and a man speaking,clicks of weapons being loaded followed by a gunshot and a clink then a man speaks,a gun cocking then firing as metal clinks on the ground alongside footsteps shuffling then a man talking with a synthesized slide whistle,a gun cocking followed by a gunshot and a man talking,a gun is fired and a man speaks,a gun is shot several times and a man speaks
a sewing machine is being used,rapid clicking occurs a motor vehicle engine attempts to start and grinds then the engine fully engages and begins to run and vibrate,rapid metal rattling as a vehicle engine stalls before starting up,an engine being turned over,a vehicle motor stuttering before starting as metal rapidly rattles,an engine being turned over,a sewing machine is running,a sewing machine is being used
a frog croaks loudly,frogs croaking and a humming with insects vocalizing,a frog croaking and insects vocalizing with a humming,a croaking frog with brief bird chirps,crickets chirping very loudly,ambient horror music plays as birds chirp and frogs croak,a frog croaks loudly,a frog croaks and a frog croaks
a person laughing and breathing,a baby crying and breathing,a baby is crying and then breathing heavily,a baby cries followed by rustling and heavy breathing,a baby crying followed by heavy breathing and some light rattling,a baby cries quickly followed by heavy breathing and rattling,a person laughing and breathing,a person laughs and breathes
an emergency siren is triggered while a vehicle moves down the street,an emergency vehicles siren with a brief male yell,an fire engine sounds the siren as an engine idles and a man speaks,an emergency siren blaring steadily,an emergency siren wailing as a truck engine runs idle followed by wind blowing into a microphone then water spraying as a man yells,an emergency siren sounding followed by water spraying and a man shouting as a truck engine runs idle in the distance,an emergency siren is triggered while a vehicle moves down,an emergency siren is triggered while a vehicle moves down the street
a telephone ringing,a telephone ringing,a telephone rings repeatedly with some buzzing in the background,an old fashioned telephone ring occurs repeatedly and buzzing is present in the background,a telephone rings several times,a telephone bell rings,a telephone ringing,a telephone ringing and ringing
a man speaks while a spray is released,a man talking followed by a brush scrapping then liquid spraying in the background,man speaking continuously with hissing in the background,a man is speaking with hissing background noises,cloth scrapping followed by cloth rubbing as a man is talking and compressed air hisses in the background,cloth scrapping then cloth shuffling as a man talks while compressed air hisses in the background,a man speaks while a stream flows,a man speaks while a spray is released
a toilet flushes and water drains,a footstep shuffling on a hard surface followed by plastic clacking then a toilet flushing,tapping noises followed by a toilet flushing,clinking followed by a toilet flushing,some rustling followed by a toilet flush,slight rustling and thumping occur followed by a flush of water with splashing and gurgling,a toilet flushes and water drains,a toilet flushes followed by a toilet flushing
a machine beeps followed by a man speaking in the background,digital beeps with some clicking,a short beep sounds and people talk far away,an electronic beep and several faints ticks,a shrill beep followed by four clicks while low voices converse in the background,digital beeping and clicks,a machine beeps followed by a man speaking,a machine beeps followed by a man speaking in the background
a woman is giving a speech,a woman talking while children talk in the background,a woman is speaking and a horse brays,a woman speaks via a public address system,a woman speaking followed by a child yelling,a woman talking over an intercom speaker as a crowd of people talk in the background,a woman giving a speech,a woman is giving a speech
a woman and a child talk and a woman talks,a man talking followed by screaming children followed by more high pitched conversation,an adult male speaks and an adult female laugh a group of kids shout and speak and then an adult female speaks in the foreground while the kids talk,a man talks followed by laughter and a woman and children communicate,speech and laughter followed by more speech and hollering,children screaming and speaking and a female speaking,a woman and a child talk,a woman and a child talk and a woman talks
a person burping loudly,loud burping and screaming,loud burping repeating,a loud distorted belch followed by a series of burping,several distorted belches followed by non-distorted burps,a series of distorted burps followed by non-distorted burps,loud burping,a person burping loudly
water is splashing and people are talking and laughing,vibrations and splashing followed by people speaking,a young girl talks followed by another young girl laughing then a young man yelling as a river stream splashes and flows with a crowd of people talking in the background,a group of young adults laughing followed by a man shouting as a stream of water splashes and flows while wind blows,water splashing with speech and brief laughter,people are talking and water is splashing,water is splashing and people are talking,water is splashing and people are talking and laughing
people laughing and talking,people are laughing,multiple people laughing,people are laughing and chuckling,woman laughs loudly as others chuckle as well,a hissing sound followed by laughter,people laughing and talking,people laugh and laugh
a crowd applauds and a man speaks,a crowd is clapping at an animal of some kind,a man speaking over an intercom as a crowd of people applaud,applause from a crowd with distant clicking and a man speaking over a loudspeaker,a crowd of people talking then applauding as a man speaks over an intercom,a man speaking over an intercom followed by a crowd of people talking then applauding,a crowd applauds and a man speaks,a crowd applauds and a woman speaks
a baby cries and cries,a baby laughing loudly,an infant laughing moderately,an baby laughing,an infant laughing,a baby laughs repetitively,a baby cries and cries,a baby cries and fusses
a toilet flushes and water drains,a toilet is flushing,a toilet flushing,water hissing followed by a man breathing loudly then a toilet flushing,water hissing followed by a man breathing aloud then a toilet flushing,a toilet flushing followed by a person breathing then metal clacking and a toilet flushing,toilet flushing,a toilet flushes and water drains
a crowd of people talking and laughing,coughing and speech,hissing with people speaking and some sneezes,a crowd speak in the distance followed by sneezing,a crowd of people talking as a person repeatedly coughs,mid frequency of multiple people in the distance talking and yelling followed by coughing,people are talking and laughing,a crowd of people talking and laughing
a sewing machine is in use,a sink faucet turning on then off as water pours then drains down a pipe,a faucet pouring water then turning off followed by water draining down a pipe,water drains with gurgling noise,a water faucet flowing then stopping followed by water draining down a pipe,water running and then stopping,a sewing machine is in use,a sewing machine is being used
a loud hissing sound with people talking in the background,a power tool motor humming as compressed air hisses alongside a group of people talking in the background followed by hammering on a metal surface,drilling in operation with speech and thumping in the background,soft drilling noise,a drilling noise with a man speaking in the background,a power tool vibrating with men speaking,a loud hissing sound with people talking in the background,a loud hissing sound with people talking in the distance
a horse is trotting,a constant pounding noise followed by vibrating sounds,white noise as footsteps run on concrete followed by liquid spraying and a person groaning,footsteps running on a hard surface followed by liquid spraying then an animal growling as static plays in the background,footsteps with intermittent aerosol can activation,footsteps and intermittent spraying,a horse is trotting,a horse is trotting and a person speaks
a person is burping,a series of burping and farting,rhythmic oinking is followed by repeated short squeaks then more oinking,burping noises followed by tongue clapping sounds,continuous burping,a series of burping and farting,a person is burping,a person is snoring
a man speaks while insects buzz,a main is speaking over a group of bees are buzzing,an adult male speaks while a many insects buzz,a man speaking as insects are buzzing and wind is blowing into a microphone,two men speak while bees buzz,a man talking as a swarm of insects are buzzing,a man speaks while insects buzz,a man speaks while bees buzz
wind blowing hard and water splashing,wind blowing with a distant jet engine humming,an aircraft engine operating as wind blows into a microphone,aircraft engine and loud background roar,an aircraft engine operates,a jet engine idles as the wind blows,wind blowing hard and water splashing,wind blowing hard with a vehicle engine running
a woman speaks while a motor hums,a large motor vehicle engine is idling an adult female speaks vehicle traffic is present and people talk in the background,an engine running consistently with brief muffled female speech,a woman speaks and a motor vehicle revs its engine,bus pulling up then woman speaking,an engine running and a female speaking,a woman speaks while a motor hums,a woman speaks while a motor hums and hums
a horse is trotting and a man speaks,roaring is present cracking occurs a metal clink and an adult male speaks,water sloshes as a motor runs then a man briefly speaks,a construction vehicle engine running and water splashing as wood crackles and snaps followed by electronic beeping and a man talking,a vehicle engine works and then a man talks,humming and vibrating followed by rustling and splashes with a man speaking briefly,a horse is trotting and a man speaks,a horse is trotting and a person speaks
a woman speaks and a woman speaks,some groaning followed by a woman speaking,a woman speaks in a high pitch,a door shutting and a female speaking,a woman talking as a door closes shut followed by another woman talking,a woman whispers and then another woman speaks,a woman speaks and a woman speaks,a woman speaks and a man speaks
waves crashing and wind blowing,waves roll slowly and water swirls as the wind blows,continuous wind and surf,ocean waves crashing as water trickles as gusts of wind blow and seagulls squawk in the distance,water flows and wind flows with seagulls in the distance,ocean waves crashing and water splashing as gusts of wind blow and seagulls squawking in the distance,waves crashing and wind blowing,water flowing and flowing wind blowing
a motorcycle engine idles and revs up,water gurgles while a vehicle engine accelerates with a loud exhaust,a vehicle engine running as water is splashing,an engine is accelerating,an engine chugging away with some splashes of water,an engine running and water splashing,a motorcycle engine idles and revs up,a motorcycle engine is idling and vibrating
a man speaks and crinkles plastic,a man talking followed by plastic crumpling and crinkling,a man talking followed by plastic crinkling and crumpling,a man talking followed by plastic crinkling and crumpling,a man speaks with some light crinkling of plastic,a man talking followed by paper and plastic crinkling,a man speaks and crinkles plastic,a man speaks and crumples plastic
rain falls and wind blows,a vehicle driving by while splashing water as a stream of water trickles and flows followed by a thunder roaring in the distance while wind blows into a microphone,rain and water splashing sounds while the wind blows,wind and water splashing and trickling,water splashing as rain falls and trickles on a wet surface followed by thunder while wind blows into a microphone,a large amount of water is splashing and gurgling and the wind is blowing,rain falls and wind blows,rain falls and wind blows hard and leaves rustle
a gun is fired several times,artillery cannons firing several times,large booming explosions,loud explosions and burst that echo,artillery cannons firing several times with an echo,a series of cannons firing,a gun is fired,a gun is fired several times
a horse is trotting,a horse clip-clops and a horse neighs from a distance,metal clinking with faint clip-clops of a horse,hissing and buzzing of insects with a horse neigh and clip clops,clip clops with a distant neigh of a horse and repetitive high pitched vibrations,clip clops of a horse with buzzing and a neigh,a horse is trotting,a horse clip clops and then neighs
people are talking and a dog is barking,human voices followed by the movement of a vehicle,a radio playing in the background followed by a vehicle engine accelerating,distant murmuring and distant engine revving,people are communicating followed by a dog barking and a vehicle moving,people are talking while a motor vehicle engine is revving,people are talking and a dog is barking,people are talking and laughing and a dog is barking
a woman speaks while water flows,ongoing speech with the faint quacking of a duck in the background,a young boy talking as a duck is quacking while water trickles and frogs croak in the background,a woman speaks with distant quacks of a duck,a pretend duck quacks in cartoon fashion while an adult female speaks,a female voice and a duck quacking,a woman speaks while water flows,a woman speaks while water runs
music is playing and a gun is fired,music plays followed by some banging and whooshes then gunshots and a grunt from a man,music playing with some whooshes and gunshots with faint brief speaking,music plays continuously along with swooshing followed by a man speaking quickly,loud metal/rock music plays with gunshots heard in the background,music and gunfire with male speech,music is playing and a man speaks,music is playing and a gun is fired
a power tool is being used,drilling with intermittent stopping and a man moaning briefly,a tool running and a male vocalizing,buzzing and humming of a motor with a man speaking,a drill running and a man vocalizing,a power tool drill running before turning off and on as a man is talking and wood is clanking and scrapping in the background,a power tool drilling,a power tool is being used
a man speaking with a faint murmuring in the background,male speech with people speaking in the background,a man talking as a man laughs then talks in the background while a horse snorts and trots,clip-clop of horse while man speaks,a man talking in the foreground as another man laughs then talks in the background while a horse trots and snorts,a man speaking as a horse is trotting while a man talks then laughs in the background,a man speaking,a man speaking with a faint murmuring in the background
a music is played,a piano playing as plastic bonks,a ticktock sound playing at the same rhythm with piano notes,a piano playing as a clock ticks,a clock ticking as a piano note is playing,two piano notes and percussion are repeating rhythmically to imitate a ticktock,a music is played,a music is played and a guitar plays
a person burping,two large loud burps,a kid laughing as someone does a series of belching,burping and then laughter,loud burps and laughter,a series of belching followed by a group of kids laughing,a person burping,a person burps loudly
a small motor is running and vibrating,vibrating noise from an engine,vibrations from an engine,an engine is idling with vibrating noises,vibrations from a sewing machine,vibrations from a humming engine,a small motor is running and vibrating,a small motor is running and vibrating and vibrating
a person is snoring loudly,spinning tires on pavement,tires skidding as a vehicle engine revs several times,a vehicle engine revving as tires skid and squeal,a motor vehicle is skidding its tires,tires squealing followed by an engine revving,a person is snoring loudly,a person is snoring and a frog are croaking
a cat is hissing,steam hissing followed by a bird cawing during audio feedback humming,a domestic animal meows,a small motor is running five hisses and a meow occur then five more hisses and a meow occur,hissing sounds and bird chirping,mechanical humming followed by meowing,a cat is hissing,a cat is hissing and growling
sizzling and popping are ongoing and crackling are ongoing,food sizzling while cooking,frying food is sizzling,food and oil sizzling,food and oil sizzling,food sizzling and oil popping,food is sizzling,sizzling and popping are ongoing and crackling are ongoing
a horse is trotting and a man is speaking,a man talking followed by a woman shouting then yelling as wind blows into a microphone while birds chirp in the background,a man talking followed by a woman shouting as wind blows into a microphone and birds chirp in the background,horses run in the distance then a man speaks and a woman cheers then talks,a man speaking with wind noise and a woman speaks,distant clip clops of horses with a man speaking and a woman screaming,birds chirp and a man speaks,a horse is trotting and a man is speaking
a woman speaks and laughs,a person burps followed by laughter and a woman speaking,a burp followed by a two girls laughing then talking,burping and laughing from a young girl,a woman laughs and talks after burping,burping followed by girls laughing and speaking,a woman speaks and laughs,a woman laughs and a woman speaks
wind blows and water splashes,ocean waves crashing and water splashing as wind blows into a microphone followed by a man talking,water splashing and trickling as wind blows into a microphone followed by a man talking in the background,water splashes and wind blows,water splashing and wind blowing hard,water splashing and wind blowing over a microphone,wind blows and water splashes,wind blows and waves crash
a man speaks while a sewing machine operates,a male speaking and a saw running,continuous buzzing and clanking,a machine motor running as a man is speaking followed by rapid buzzing,a man talking as a machine motor hums followed by electronic buzzing,a man speaking while power tools are whirring and running in the background,a man speaks while a sewing machine operates,a man speaks as a sewing machine operates
water is rushing and gurgling and gurgling and gurgling and gurgling and gurgling,a river stream flowing followed by a kid talking,a large volume of water is rushing splashing and gurgling and an adult male speaks briefly,a stream of water rushing and trickling followed by a young man whooshing,sounds of a river with man briefly mumbling,a stream burbles while a man speaks,waves crashing and wind blowing,water is rushing and gurgling and gurgling and gurgling and gurgling and gurgling
birds chirping and whistling,someone whistles followed by a bird tweeting with chirps in the background,whistling and birds chirping back and forth,whistling with birds chirping,whistling followed by birds chirping,a person whistling while birds chirp,birds chirping and whistling,birds chirping and singing
a woman speaks while music is played,instrumental music playing as a woman speaks followed by rain pouring then rain falling on a surface,music playing followed by a woman talking and rain falling then rain falling on a surface,music with rain falling and a woman speaking,a female speech music and rainfall,females voice narrating a scene as music is playing and rain drops are falling,a woman speaks while food sizzles,a woman speaks while music is played
a spray is released several times,an idle steam engine running while steam blows and hisses and a man talks faintly in the background,a steam engine runs as steam hisses and sprays while a man is talking in the background,compressed air and steam releasing with a man faintly talking in the background,a train makes hissing sound followed by people speaking lowly in the background,steam hissing with light mechanical sounds,a spray is released several times,a spray is released several times and a person speaks
a vehicle engine is idling,engines hum and vibrate and rev their engines,an engine revving,vehicles hum and vibrate as they rev their engines,cars humming and rumbling as they rev and idle,a vehicle engine running idle then revving as a crowd of people talk in the background,a vehicle engine is idling,a vehicle engine is idling and vibrating
a vehicle engine is idling and people are talking in the background,a bus accelerating followed by a man speaking,a large motor vehicle engine is running and accelerates and an adult male speaks in the background,a bus engine is running and people are talking,a bus engine accelerating followed by a man talking then a woman speaking in the background,a bus is driving and people are speaking,a vehicle engine is idling and a man speaks,a vehicle engine is idling and people are talking in the background
a baby cries and a woman speaks,a baby is crying and a woman speaks,an infant crying followed by a child speaking in the background then a young woman talking,a baby is crying and a child speaks in the background then an adult female speaks and the baby sobs,an infant crying with another infant crying in the background followed by a woman speaking,an infant crying followed by a child speaking in the background then a young woman talking,a baby cries and a woman speaks,a baby cries while a woman speaks
a person whistling followed by whistling,whistling and then a female singing,a person whistling followed by a young woman singing,whistling with some distant humming and a girl singing,a woman whistles and sings,whistling occurs followed by an adult female singing,a person whistling followed by whistling,a person whistling followed by whistling and a tune
a vehicle engine revving and accelerating,a mid-size motor vehicle engine accelerates and is accompanied by hissing and spinning tires then it decelerates and an adult male begins to speak,a vehicle engine is revving followed by a man speaking,an engine revving continuously,vibrations of an idling and revving engine,a motor revs hard a man speaks,an engine revving and revving,a vehicle engine revving and accelerating
a baby cries and a man speaks,rustling followed by a man speaking and a child laughing,a child laughing followed by a man talking as snow shuffles in the background,crunching and scraping followed by a child and a man speaking,a child laughing followed by a man talking as snow shuffles in the background,a child laughs a man speaks and people laugh,a baby cries and a man speaks,a man speaks and a baby cries
a car engine revving and accelerating,a motor vehicle revs and skids tires while speeding off,a man talks in the background while a vehicle engine revs as tires skid then accelerates,an engine running followed by the engine revving and tires screeching,a vehicle engine running idle as a man is talking then accelerating with tires skidding and squeaking,humming and accelerating of a car engine with squealing tires and people speaking faintly,a car engine revving and accelerating,a vehicle engine revving and accelerating
a woman speaks and a child speaks,a woman speaks followed by a girl speaking faintly,woman speaking followed by child speaking,a woman is speaking and a child speaks,a woman talking followed by a young girl talking,a woman talking before and after a young girl gasping then talking,a woman and a child talk,a woman speaks and a child speaks
a door opens and then a toilet flushes,a door closes followed by a toilet flushing,white noise followed by clanking and then a toilet flushing,metal clacking followed by a door closing as water trickles then a toilet flushing,footsteps then a toilet flushing,metal rattling followed by a door slamming shut then plastic clacking proceeded by a toilet flushing,a toilet flushes and water drains,a door opens and then a toilet flushes
a person whistling a tune,a person whistles a tune with wind noise and people talking in the background,a person whistles a tune with people talking low in the background,musical whistling with wind blowing,a person whistles as wind blows into a microphone and a crowd of people talk in the background,a person whistling as a crowd of people talk in the background,someone whistles a tune,a person whistling a tune
an engine is idling and a man speaks,a motorcycle engine is idling and vibrating while an adult male speaks,an engine hums as it idles and a man speaks,a motorcycle engine is running and a man is talking,motorcycle engine idles while a man speaks,a man talking followed by an idle motorbike engine running,an engine is idling and a man speaks,a motorcycle engine is idling and a man is speaking
a motor vehicle engine is running and then stops,a short loud vibration,brief vibrations from a truck,an idle vehicle engine running,an engine running very briefly,a engine running briefly,a motor vehicle engine is running,a motor vehicle engine is running and then stops
a crowd applauds and cheers,a crowd of people applauding followed by a woman talking on a microphone,applause from a crowd with women briefly speaking,loud applause and woman speaking,a static distortion followed by a woman talking while a crowd of people applaud and cheer,applause with distant speech and cheering,a crowd applauds and cheers,a crowd of people applauding and cheering
a toilet flushes and water drains,a woman yelling in the distance followed by a toilet flushing as an air ventilation system runs,a toilet flushing as an air ventilation system runs and a woman yells in the distance,mechanical humming followed by a flushing toilet,a toilet is flushed,mechanical humming followed by a click and a toilet flushing,a toilet flushes and water drains,a toilet flushes followed by a toilet flushing
fire truck horns honking,an emergency vehicle siren blasts as a man speaks,distant rings of sirens get closer as traffic passes and people speak,emergency vehicle siren blasts while a man talks,sirens ring and traffic passes as people speak,a ringing of a siren with passing traffic,fire truck horns honking,fire truck horns honking and sirens
a man speaking followed by a car horn honking,a man speaking as a vehicle horn honks in the background and another man talks in the distance,a man is talking some traffic noise in the background,a man speaking as a vehicle horn honks and a man speaks in the distance,male speech with horns honking in the background,a car honks in the background while a man speaks,a man speaking followed by a car horn honking,a man speaks followed by a car horn honking
a machine gun is fired several times and a man speaks,beeping occurs an adult male speaks blasts and shots occur and a helicopter is operating,beep then radio voice followed by gunshots and explosion,helicopter running speech on a radio and then gunfire,helicopter blades spin with a humming engine loud booms and a man speaking over the radio,a man speaks as helicopter blades spin followed by loud explosions,a machine gun is fired several times,a machine gun is fired several times and a man speaks
water running from a faucet,water pouring out of a faucet at a high rate followed by a container filling with liquid before splashing out proceeded by scrubbing on a plastic surface,water is running followed by a gurgling sound,a faucet pouring water as water fills a container followed by scrubbing on a plastic surface and water splashing,water running out of a faucet some hitting a sink bottom and some water filling a cup,a faucet pouring water as a plastic container fills with liquid and scrubbing against a plastic surface while water trickles,water running from a faucet,water running from a sink
a person whistling,loud wolf whistles occur twice in a quiet environment,a continuation of intermittent whistling,a person whistling,high pitched rhythmic whistling,someone is whistling,a person whistling,a person whistling followed by a bird chirping
birds chirping and flapping their wings,rustling followed by whistling then birds chirping,whistling with wings flapping birds chirping and pigeons cooing,whistling with pigeons cooing wings flapping and birds chirping,a person whistling followed by pigeons cooing and bird wings flapping as birds chirp in the background,whistling with flapping wings and cooing pigeons with other birds chirping,birds chirping and flapping wings,birds chirping and flapping their wings
a man is speaking and a truck engine is idling,a man talks as an engine idles loudly,an adult male is speaking while a large motor vehicle engine is idling,an engine running and a male speech,a bus engine running idle as a man is talking,a man is talking while a bus is idling in the background,a man is speaking and a motor is running,a man is speaking and a truck engine is idling
a person whistles and a woman speaks,brief speech followed by whistling a tune,a woman talking followed by a bird whistling then a woman whistling,an adult female speaks and claps a bird whistles in the foreground another bird chirps in the background and then a human whistles a tune,a woman talking followed by a bird whistling then a person whistling,a woman talking before clapping followed by a bird whistling then a woman whistling,a person whistling and talking,a person whistles and a woman speaks
wind blows hard and water splashes as people speak,wind blowing heavily into a microphone as a speedboat drives by and water splashes in the distance followed by a man talking,wind blows hard and a motor hums in the distance,wind noise while a water vehicle is traveling across water and a man talks,wind sounds as motor boat travels followed by a woman speaking,wind gusts as a motorboat speeds by with water splashing then people nearby speak,wind blows hard and water splashes as people speak,wind blowing hard and water splashing as a man speaks
insects are buzzing and birds are chirping,insects buzzing as tin containers clank and rattle while birds chirp in the background,buzzing sound with click and clack in background,rustling bees buzzing and then birds chirping,wood thumping and a series of metal clanks while a swarm of insects are buzzing and birds chirp in the distance,bees buzz as clanking occurs,insects are buzzing,insects are buzzing and birds are chirping
a sheep bleats and a woman laughs,sheep bleating with a baby sheep baaing,sheep baaing as leaves rustle followed by a person giggling,sheep baaing as gusts of wind blows followed by a person chuckling,several goats bleat,several goats baaing as grass shuffles followed by a person chuckling in the background,sheep bleat and a woman laughs,a sheep bleats and a woman laughs
a crowd of people talking and a bell ringing,bells chiming followed by a train whistle blowing as a crowd of people talk in the background,various conversation occur in a crowd a train bell dings followed by a train whistle cheering occurs at the end,muffled crowd noise while a bell dings,bell dings while people talk and a horn blows,bells ringing followed by a steam engine whistling blowing as a crowd of people talk in the background,a crowd of people talking and a bell ringing,a crowd of people are talking and a bell is ringing
rain is falling and thunder is rumbling and a man is speaking,it is raining and thundering and then a man speaks,a man talking as rain falls and thunder roars in the background,distant thunder with rain falling followed by a man speaking loudly,thunder crashes and rain splashes during which two adult males speak,thunder roaring in the distance as rain lightly pours and a man yells followed by another man humming,rain falls and a man speaks,rain is falling and thunder is rumbling and a man is speaking
pigeons coo and flap their wings,birds are cooing and wings flap,birds are cooing and softy cheeping and wings flap,a pigeon cooing followed by bird wings flapping as wind blows into a microphone,pigeons coo and flap their wings,pigeons cooing followed by bird wings flapping as wind lightly blows into a microphone,pigeons coo and flap wings,pigeons coo and flap their wings
a cat meows and a woman speaks,a cat meowing and young female speaking,a young kid is talking as a cat is growling then meowing with a series of electronic buzzing,a cat screaming then meowing as a young boy is talking during a series of electronic buzzing,a cat meows and hisses and a child speaks,a cat is meowing and a child is speaking,a cat meows and a woman speaks,a woman speaks and a cat meows
waves crashing as wind blows into a microphone,wind is blowing along with some engines,wind blowing and an engine humming,some rustling with a very high toned beep,wind blowing with some rustling and humming of engines,wind blows with some nearby rustling and distant passing traffic,waves crashing and wind blowing,waves crashing as wind blows into a microphone
a machine works nearby,metal clanking followed by steam hissing as a truck engine is running then accelerating,a motor vehicle is accelerating followed by thumping and hissing noises,a loud metal clank followed by pressurized air releasing as a truck engine runs idle before accelerating,an engine hums followed by a hiss,a vehicle engine whirring followed by some knocking and a release of brakes,a machine works nearby,a machine motor humming as metal clacks and clanks
a sewing machine is running and a woman speaks,a woman speaks followed by a sewing machine slow stitching,humming followed by some rattling and a woman speaking then slow vibrations of a sewing machine,a woman speaks as a machine whirs and creaks in the background,humming followed by a woman speaking with slow ticks of a sewing machine,humming followed by a woman speaking and slow clicks of a sewing machine,a sewing machine runs and a woman speaks,a sewing machine is running and a woman speaks
a man speaks followed by a car horn honking,men speak with some light clicks then vibrations and then digital clicks,a male speaks then a click followed by a whine and a series of loud beeps,muffled man speech with tapping and clicks,a man talking faintly in the background followed by a metal click then a small horn honking twice,low speech from a man followed by machine making a beeping noise,a man speaks and a car horn honks,a man speaks followed by a car horn honking
a sewing machine is being used,a quick burst of vibrations from a sewing machine with clicking and rattling,a burst of vibration from a sewing machine followed by scraping and clicking,vibrations from a sewing machine with clicking,a sewing machines a sewing then suddenly stopping with some squeezing,a sewing machine operating followed by metal clacking and gears cranking then scissors snipping,a sewing machine is used,a sewing machine is being used
a dog barks and birds chirp in the distance,leaves rustling in the wind with dogs barking and birds chirping,a person clapping followed by a dog barking then knocking on a glass surface as birds chirp during outdoor ambiance,a person clapping followed by a dog barking then wood clanking as birds chirp and gusts of wind blow in the background,a dog barks along with outdoor noises,a dog barks quickly,a dog barks and birds chirp,a dog barks and birds chirp in the distance
a woman is giving a speech,an adult female is speaking in a quiet environment,an adult female speaks in a quiet environment,a young woman is talking,a young woman speaking,a young woman talking,a woman speaking,a woman is giving a speech
a spray is released,a vacuum moving back and forth,escaping steam is hissing while a tool motor runs and suction is present,a vacuum running,a vacuum cleaner cleaning a surface and hissing,vacuum cleaner sucks something,a spray is released,a spray is released and then a machine sprays
a child speaking and crinkling plastic,clicking and crinkling plastic with a person speaking,a woman speaking with crumpling and crinkling,a young girl speaking with some crinkling plastic,a small child speaks followed by crinkling and cracking,clicking and crinkling with people speaking,a child speaking and crinkling plastic,a child speaks and crinkles plastic
a car engine revving and speeding by,a vehicle accelerating and driving by as birds chirp faintly in the distance,auto driving quickly past engine sound fading,a vehicle driving by with tires briefly skidding and accelerating then slowing down,an engine running,a vehicle accelerating and driving by,a car engine revving and speeding by,a car engine revs and then accelerates
a vehicle engine revving and accelerating,clicking followed by booming engines accelerating into the distance,two vehicle engines running idle before accelerating,a mid-size motor vehicle engine is idling and clacking somewhat followed by mid-size motor vehicles accelerating quickly with a brief tire squeal,a race car engine is idling and then the car accelerates away quickly,an engine throttles and clanks and then suddenly accelerates off into the distance,a vehicle engine revving and accelerating,a car engine revving and accelerating
